case_id,group,instrument,kind,spot,strike,tau,rate,vol,div,method,settings,seed,steps,n_paths,n_samples,pilot_paths,total_paths,antithetic,control_variate,control_beta,variance_reduction,n_dates,average,reference,reference_price,price,error,abs_error,rel_error,se,ci_low,ci_high,ci_status,z_score,covered_95,criterion,outcome,expected,status,reason
eu-call-K100-T0.25-v0.3-r0.01-q0.03,european,european,call,100.0,100.0,0.25,0.01,0.3,0.03,mc_plain,n_paths=65536,4094903085,,65536,65536,0,65536,False,False,0.0,1.0,,,bsm_price,5.703274328266616,5.698050784470612,-0.00522354379600376,0.00522354379600376,-0.0009158850680064237,0.03647088129314289,5.626569170651616,5.769532398289608,normal,-0.1432250499794166,True,z_score,agree,agree,pass,
eu-call-K100-T0.25-v0.3-r0.01-q0.03,european,european,call,100.0,100.0,0.25,0.01,0.3,0.03,mc_antithetic_control,n_paths=65536+4096 pilot; antithetic; control,1528981352,,65536,32768,4096,69632,True,True,3.1719064639901022,18.32561582388728,,,bsm_price,5.703274328266616,5.713506830485811,0.01023250221919536,0.01023250221919536,0.0017941451927853001,0.008198922651183731,5.6974372373774615,5.729576423594161,normal,1.248030095480658,True,z_score,agree,agree,pass,
eu-call-K100-T1-v0.1-r0.05-q0,european,european,call,100.0,100.0,1.0,0.05,0.1,0.0,crr,steps=1000,,1000,,,,,,,,,,,bsm_price,6.804957708822144,6.8038854284226895,-0.001072280399454506,0.001072280399454506,-0.00015757341122992884,,,,,,,tolerance,agree,agree,pass,
eu-call-K100-T1-v0.1-r0.05-q0,european,european,call,100.0,100.0,1.0,0.05,0.1,0.0,mc_plain,n_paths=65536,3620124505,,65536,65536,0,65536,False,False,0.0,1.0,,,bsm_price,6.804957708822144,6.836495332309203,0.031537623487058575,0.031537623487058575,0.004634506904601668,0.03039828052844231,6.776915797281511,6.896074867336894,normal,1.037480506752684,True,z_score,agree,agree,pass,
eu-call-K100-T1-v0.1-r0.05-q0,european,european,call,100.0,100.0,1.0,0.05,0.1,0.0,mc_antithetic_control,n_paths=65536+4096 pilot; antithetic; control,116334604,,65536,32768,4096,69632,True,True,4.226432342420534,60.48303213709031,,,bsm_price,6.804957708822144,6.801881171901527,-0.0030765369206173787,0.0030765369206173787,-0.00045210228369661537,0.0037772961096393096,6.794477807567691,6.809284536235363,normal,-0.8144812668422636,True,z_score,agree,agree,pass,
eu-call-K100-T1-v0.1-r0.01-q0.03,european,european,call,100.0,100.0,1.0,0.01,0.1,0.03,crr,steps=1000,,1000,,,,,,,,,,,bsm_price,3.006630795086906,3.0056347883191794,-0.0009960067677265982,0.0009960067677265982,-0.0003312700612772806,,,,,,,tolerance,agree,agree,pass,
eu-call-K100-T1-v0.1-r0.01-q0.03,european,european,call,100.0,100.0,1.0,0.01,0.1,0.03,mc_plain,n_paths=65536,4028431922,,65536,65536,0,65536,False,False,0.0,1.0,,,bsm_price,3.006630795086906,3.0140963886349295,0.0074655935480234525,0.0074655935480234525,0.0024830429995671157,0.020982046532324942,2.972972333109629,3.0552204441602298,normal,0.35580864509674776,True,z_score,agree,agree,pass,
eu-call-K100-T1-v0.1-r0.01-q0.03,european,european,call,100.0,100.0,1.0,0.01,0.1,0.03,mc_antithetic_control,n_paths=65536+4096 pilot; antithetic; control,629231031,,65536,32768,4096,69632,True,True,4.553297984568621,17.502266022706543,,,bsm_price,3.006630795086906,3.0045515704420342,-0.0020792246448717577,0.0020792246448717577,-0.0006915463808424334,0.004836255873576416,2.9950726831098042,3.0140304577742643,normal,-0.42992444966195903,True,z_score,agree,agree,pass,
eu-call-K100-T1-v0.3-r0.05-q0,european,european,call,100.0,100.0,1.0,0.05,0.3,0.0,crr,steps=1000,,1000,,,,,,,,,,,bsm_price,14.231254785985826,14.22830901583519,-0.0029457701506352407,0.0029457701506352407,-0.0002069930020180706,,,,,,,tolerance,agree,agree,pass,
eu-call-K100-T1-v0.3-r0.05-q0,european,european,call,100.0,100.0,1.0,0.05,0.3,0.0,mc_plain,n_paths=65536,1823091184,,65536,65536,0,65536,False,False,0.0,1.0,,,bsm_price,14.231254785985826,14.201991388121797,-0.029263397864028207,0.029263397864028207,-0.0020562767165721203,0.08782235032905199,14.029862744439196,14.374120031804399,normal,-0.33321128111903603,True,z_score,agree,agree,pass,
